1,0.06,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,140.00,20.00,120.00,120.00,120.00,140.00,540.00,440.00,120.00,60.00,80.00,20.00,60.00,120.00,120.00,20.00,200.00,120.00,120.00,40.00
58,0.68,0.45,0.85,10.89,11.98,13.95,0.85,10.89,1.07,21,23.0,138.00,138.00,69.00,138.00,598.00,23.00,437.00,460.00,138.00,138.00,138.00,437.00,483.00,115.00,552.00,138.00,23.00,115.00,529.00,69.00,115.00
59,0.67,0.45,0.85,10.89,11.98,13.95,0.85,10.89,1.07,21,23.0,138.00,575.00,138.00,138.00,138.00,138.00,69.00,138.00,138.00,575.00,92.00,138.00,23.00,138.00,575.00,138.00,138.00,138.00,391.00,552.00,138.00
60,0.65,0.45,0.85,10.89,11.98,13.95,0.85,10.89,1.07,21,23.0,138.00,46.00,23.00,115.00,92.00,46.00,138.00,138.00,69.00,598.00,138.00,46.00,138.00,138.00,138.00,552.00,138.00,23.00,552.00,138.00,138.00
61,0.67,0.45,0.85,10.89,11.98,13.95,0.85,10.89,1.07,21,23.0,460.00,138.00,23.00,115.00,667.00,23.00,138.00,138.00,138.00,138.00,391.00,552.00,138.00,23.00,138.00,138.00,529.00,138.00,506.00,23.00,138.00
62,0.70,0.45,0.85,10.89,11.98,13.95,0.85,10.89,1.07,21,23.0,69.00,138.00,552.00,598.00,115.00,414.00,138.00,138.00,138.00,161.00,575.00,138.00,92.00,138.00,115.00,23.00,138.00,138.00,23.00,138.00,138.00
63,0.68,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,132.00,132.00,528.00,132.00,132.00,132.00,22.00,132.00,528.00,132.00,22.00,132.00,550.00,44.00,132.00,44.00,132.00,132.00,66.00,132.00,132.00,132.00
64,0.70,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,132.00,22.00,110.00,132.00,550.00,22.00,110.00,462.00,154.00,44.00,132.00,22.00,550.00,132.00,88.00,374.00,132.00,132.00,22.00,550.00,132.00,22.00
65,0.67,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,132.00,132.00,132.00,132.00,132.00,132.00,484.00,572.00,132.00,66.00,506.00,132.00,462.00,132.00,88.00,132.00,132.00,132.00,22.00,132.00,132.00,22.00
66,0.68,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,132.00,132.00,22.00,132.00,132.00,132.00,132.00,110.00,154.00,132.00,44.00,132.00,88.00,132.00,132.00,132.00,1012.00,132.00,484.00,132.00,44.00,110.00
67,0.68,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,132.00,132.00,88.00,132.00,22.00,132.00,132.00,132.00,132.00,132.00,132.00,132.00,132.00,44.00,132.00,506.00,132.00,528.00,132.00,132.00,132.00,506.00
68,0.67,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,110.00,22.00,110.00,550.00,132.00,132.00,110.00,242.00,132.00,132.00,22.00,44.00,418.00,110.00,132.00,44.00,132.00,132.00,132.00,132.00,88.00,528.00
69,0.69,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,132.00,66.00,110.00,440.00,132.00,132.00,132.00,22.00,22.00,132.00,22.00,528.00,132.00,550.00,132.00,506.00,132.00,132.00,132.00,132.00,572.00,132.00
70,0.68,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,462.00,506.00,154.00,418.00,440.00,132.00,132.00,22.00,132.00,132.00,22.00,132.00,154.00,44.00,550.00,462.00,132.00,550.00,22.00,110.00,484.00,528.00
71,0.67,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,528.00,44.00,132.00,132.00,550.00,132.00,132.00,132.00,132.00,88.00,132.00,132.00,132.00,132.00,506.00,132.00,132.00,110.00,528.00,132.00,132.00,154.00
72,0.69,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,132.00,132.00,132.00,132.00,132.00,506.00,484.00,88.00,462.00,132.00,132.00,132.00,132.00,44.00,66.00,22.00,132.00,66.00,132.00,132.00,22.00,132.00
73,0.70,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,132.00,132.00,132.00,22.00,132.00,572.00,22.00,44.00,44.00,132.00,132.00,132.00,132.00,132.00,132.00,110.00,22.00,88.00,88.00,154.00,132.00,132.00
74,0.70,0.45,0.85,0.79,0.88,1.78,0.85,0.79,1.07,22,22.0,44.00,484.00,132.00,550.00,110.00,132.00,528.00,572.00,132.00,132.00,484.00,22.00,132.00,440.00,132.00,132.00,66.00,132.00,132.00,44.00,154.00,132.00
