22,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,20.00,120.00,120.00,480.00,120.00,40.00,500.00,480.00,100.00,100.00,120.00,120.00,120.00,120.00,80.00,480.00,100.00,120.00,360.00,120.00
23,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,20.00,520.00,40.00,20.00,120.00,140.00,120.00,580.00,120.00,120.00,100.00,120.00,500.00,120.00,120.00,380.00,480.00,100.00,120.00
24,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,480.00,120.00,20.00,120.00,140.00,120.00,120.00,120.00,60.00,400.00,120.00,120.00,120.00,120.00,120.00,40.00,20.00,120.00,120.00,120.00
25,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,140.00,20.00,120.00,120.00,100.00,20.00,120.00,400.00,120.00,40.00,120.00,520.00,120.00,420.00,480.00,100.00,40.00,120.00,120.00,100.00
26,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,420.00,120.00,120.00,120.00,500.00,120.00,20.00,120.00,120.00,120.00,20.00,120.00,120.00,120.00,120.00,120.00,120.00,40.00,400.00
27,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,420.00,80.00,120.00,20.00,500.00,120.00,120.00,120.00,120.00,520.00,20.00,20.00,120.00,500.00,20.00,120.00,40.00,120.00,20.00,120.00
28,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,120.00,120.00,100.00,120.00,80.00,40.00,120.00,40.00,140.00,120.00,120.00,120.00,120.00,100.00,80.00,120.00,120.00,120.00
29,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,120.00,540.00,500.00,120.00,60.00,20.00,120.00,20.00,120.00,20.00,120.00,820.00,380.00,120.00,120.00,100.00,20.00,120.00,120.00
30,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,480.00,480.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,40.00,120.00,140.00
31,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,400.00,120.00,480.00,180.00,120.00,20.00,120.00,120.00,40.00,480.00,120.00,400.00,120.00,120.00,400.00,120.00,20.00,120.00,400.00
32,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,40.00,120.00,120.00,100.00,120.00,120.00,40.00,40.00,120.00,120.00,500.00,120.00,120.00,120.00,480.00,120.00,120.00,120.00,120.00
33,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,340.00,20.00,500.00,120.00,20.00,120.00,120.00,40.00,40.00,120.00,120.00,480.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,220.00
34,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,380.00,80.00,120.00,960.00,120.00,120.00,20.00,120.00,120.00,140.00,120.00,120.00,20.00,120.00,520.00,100.00,20.00,120.00,120.00
35,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,20.0,120.00,440.00,20.00,320.00,120.00,80.00,480.00,120.00,120.00,120.00,20.00,120.00,220.00,100.00,140.00,120.00,80.00,120.00,60.00,820.00
