1,0.07,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,120.00,20.00,80.00,500.00,120.00,20.00,120.00,120.00,40.00,120.00,120.00,120.00,40.00,100.00,120.00,120.00,140.00,120.00,80.00,120.00
65,0.65,0.02,0.36,2.66,0.70,0.02,0.56,0.14,0.70,15,23.0,138.00,138.00,575.00,23.00,92.00,138.00,92.00,23.00,207.00,529.00,138.00,138.00,138.00,138.00,92.00
66,0.63,0.02,0.36,2.66,0.70,0.02,0.56,0.14,0.70,15,23.0,92.00,138.00,552.00,138.00,92.00,506.00,138.00,138.00,138.00,138.00,529.00,115.00,138.00,92.00,138.00
67,0.64,0.02,0.36,2.66,0.70,0.02,0.56,0.14,0.70,15,23.0,23.00,115.00,391.00,138.00,138.00,552.00,115.00,115.00,138.00,575.00,138.00,138.00,138.00,138.00,23.00
68,0.58,0.02,0.36,2.66,0.70,0.02,0.56,0.14,0.70,15,23.0,138.00,529.00,69.00,23.00,138.00,138.00,138.00,23.00,138.00,138.00,46.00,92.00,23.00,46.00,138.00
69,0.54,0.02,0.36,2.66,0.70,0.02,0.56,0.14,0.70,15,23.0,230.00,138.00,115.00,115.00,69.00,138.00,138.00,138.00,138.00,138.00,138.00,138.00,138.00,138.00,138.00
70,0.61,0.02,0.36,2.66,0.70,0.02,0.56,0.14,0.70,15,23.0,161.00,138.00,138.00,138.00,138.00,92.00,138.00,138.00,23.00,460.00,161.00,138.00,69.00,138.00,138.00
71,0.64,0.02,0.36,2.66,0.70,0.02,0.56,0.14,0.70,15,23.0,138.00,460.00,138.00,138.00,138.00,115.00,138.00,138.00,138.00,69.00,138.00,23.00,138.00,161.00,138.00
72,0.68,0.02,0.36,2.66,0.70,0.02,0.56,0.14,0.70,15,23.0,138.00,138.00,23.00,138.00,138.00,483.00,506.00,138.00,69.00,138.00,23.00,138.00,621.00,92.00,46.00
73,0.65,0.16,3.59,2.24,4.24,0.16,5.30,1.37,4.24,14,24.0,144.00,600.00,144.00,144.00,144.00,144.00,144.00,144.00,120.00,144.00,552.00,144.00,144.00,96.00
74,0.63,0.16,3.59,2.24,4.24,0.16,5.30,1.37,4.24,14,24.0,312.00,120.00,72.00,96.00,120.00,504.00,600.00,144.00,552.00,144.00,144.00,144.00,600.00,144.00
75,0.66,0.16,3.59,2.24,4.24,0.16,5.30,1.37,4.24,14,24.0,432.00,480.00,144.00,144.00,144.00,120.00,144.00,144.00,144.00,96.00,72.00,600.00,600.00,144.00
76,0.63,0.16,3.59,2.24,4.24,0.16,5.30,1.37,4.24,14,24.0,144.00,144.00,144.00,528.00,96.00,24.00,624.00,120.00,144.00,144.00,576.00,552.00,144.00,144.00
77,0.66,0.16,3.59,2.24,4.24,0.16,5.30,1.37,4.24,14,24.0,552.00,552.00,144.00,24.00,144.00,336.00,144.00,144.00,144.00,144.00,144.00,144.00,144.00,24.00
78,0.66,0.16,3.59,2.24,4.24,0.16,5.30,1.37,4.24,14,24.0,144.00,144.00,144.00,144.00,144.00,144.00,72.00,144.00,144.00,552.00,72.00,144.00,72.00,144.00
79,0.68,0.16,3.59,2.24,4.24,0.16,5.30,1.37,4.24,14,24.0,48.00,144.00,576.00,600.00,120.00,24.00,144.00,144.00,144.00,48.00,576.00,528.00,120.00,144.00
80,0.69,0.16,3.59,2.24,4.24,0.16,5.30,1.37,4.24,14,24.0,144.00,144.00,144.00,576.00,144.00,456.00,576.00,144.00,120.00,120.00,72.00,144.00,144.00,168.00
81,0.67,0.16,3.59,0.92,0.37,0.16,0.48,1.37,0.37,15,23.0,92.00,552.00,138.00,138.00,368.00,138.00,437.00,437.00,138.00,138.00,115.00,138.00,138.00,138.00,598.00
82,0.68,0.16,3.59,0.92,0.37,0.16,0.48,1.37,0.37,15,23.0,552.00,138.00,138.00,161.00,138.00,552.00,138.00,138.00,138.00,138.00,138.00,138.00,529.00,115.00,69.00
83,0.68,0.16,3.59,0.92,0.37,0.16,0.48,1.37,0.37,15,23.0,138.00,138.00,161.00,138.00,138.00,138.00,138.00,23.00,138.00,138.00,138.00,23.00,23.00,138.00,138.00
84,0.73,0.16,3.59,0.92,0.37,0.16,0.48,1.37,0.37,15,23.0,575.00,552.00,115.00,115.00,115.00,23.00,138.00,138.00,23.00,552.00,23.00,92.00,138.00,575.00,138.00
85,0.70,2.35,3.20,0.92,0.37,2.35,0.48,2.06,0.37,16,22.0,132.00,110.00,132.00,44.00,462.00,814.00,132.00,88.00,110.00,132.00,462.00,132.00,528.00,88.00,132.00,132.00
86,0.71,2.35,3.20,0.92,0.37,2.35,0.48,2.06,0.37,16,22.0,132.00,132.00,132.00,132.00,550.00,550.00,132.00,132.00,132.00,132.00,132.00,132.00,132.00,132.00,418.00,154.00
87,0.72,2.35,3.20,0.92,0.37,2.35,0.48,2.06,0.37,16,22.0,22.00,132.00,528.00,132.00,132.00,44.00,132.00,550.00,132.00,88.00,132.00,396.00,572.00,132.00,132.00,22.00
88,0.72,2.35,3.20,0.92,0.37,2.35,0.48,2.06,0.37,16,22.0,132.00,572.00,132.00,132.00,506.00,132.00,132.00,110.00,132.00,132.00,528.00,132.00,550.00,22.00,132.00,132.00
89,0.71,2.35,3.20,0.92,0.37,2.35,0.48,2.06,0.37,16,22.0,132.00,132.00,132.00,44.00,132.00,132.00,88.00,88.00,132.00,44.00,132.00,132.00,528.00,132.00,132.00,88.00
90,0.71,2.35,3.20,0.92,0.37,2.35,0.48,2.06,0.37,16,22.0,132.00,132.00,110.00,528.00,44.00,132.00,528.00,132.00,88.00,462.00,132.00,132.00,132.00,66.00,22.00,132.00
91,0.70,2.35,3.20,0.92,0.37,2.35,0.48,2.06,0.37,16,22.0,44.00,132.00,462.00,132.00,66.00,132.00,132.00,132.00,22.00,132.00,132.00,154.00,594.00,154.00,132.00,88.00
92,0.71,2.35,3.20,0.92,0.37,2.35,0.48,2.06,0.37,16,22.0,110.00,506.00,132.00,132.00,132.00,132.00,66.00,132.00,132.00,132.00,44.00,132.00,352.00,132.00,132.00,22.00
